Dwell (ms),Type I block,Type II block
0.8125,19.21005,
0.5313,19.22453,
2.5622,19.23023,
1.0155,19.23178,
0.625,19.23304,
1.3285,19.24044,
0.625,19.25535,
0.625,19.29375,
0.5,19.30492,
0.719,19.31047,
1.0313,19.32088,
0.7187,19.33662,
0.5,19.36045,
0.9372,19.36694,
0.5,19.36736,
1,19.37042,
1,19.38781,
0.719,19.39845,
0.5313,19.40132,
0.9375,19.40861,
0.5312,19.41077,
0.594,19.41816,
0.531,19.41876,
0.5,19.43078,
0.6094,19.43948,
0.8125,19.46821,
2.0628,19.48375,
0.625,19.48521,
0.5,19.48699,
0.625,19.50322,
0.5315,19.52027,
0.6091,19.54505,
1.3438,19.54592,
1.25,19.5818,
0.5938,19.58924,
0.7187,19.59714,
0.7185,19.60166,
0.625,19.6126,
0.8437,19.62423,
0.7188,19.62572,
0.5313,19.63536,
0.719,19.63833,
0.5315,19.64767,
0.5155,19.67894,
0.5935,19.69886,
0.844,19.69955,
0.7185,19.70271,
1.125,19.71686,
0.5155,19.71979,
0.7188,19.72905,
0.7188,19.73696,
0.5,19.74072,
0.7185,19.74188,
0.625,19.76388,
0.5313,19.76859,
0.625,19.77689,
0.5156,19.79234,
0.531,19.7927,
0.7188,19.84285,
0.9375,19.84489,
1.25,19.84748,
1.4375,19.85127,
0.625,19.85728,
1.75,19.85901,
0.5,19.86119,
0.9217,19.86517,
0.5,19.86528,
0.8285,19.87003,
0.7187,19.87609,
0.8122,19.88737,
0.8125,19.89311,
0.5,19.91308,
0.828,19.91576,
0.8125,19.92251,
1.2345,19.92308,
0.625,19.92864,
0.922,19.92992,
0.625,19.93201,
0.7185,19.94641,
0.719,19.9536,
0.625,19.96726,
0.8125,19.96758,
0.8122,19.99268,
0.5,19.99764,
4.7189,19.99883,
0.5155,20.00334,
0.7187,20.00556,
0.7189,20.00795,
0.9219,20.01851,
2.75,20.03214,
0.9065,20.0529,
0.5937,20.07157,
0.531,20.0807,
2.25,20.09652,
0.5,20.11341,
0.594,20.1154,
0.625,20.11856,
0.7187,20.11982,
0.5,20.12186,
0.719,20.13048,
1.2187,20.13431,
3.0938,20.14999,
0.7187,20.15736,
1.031,20.16415,
1.2187,20.16679,
0.625,20.17744,
0.8281,20.20184,
0.719,20.20542,
0.5,20.23033,
0.5155,20.2464,
1.031,20.25276,
1.125,20.27971,
0.5313,20.29517,
0.8122,20.30935,
0.7185,20.31039,
0.625,20.31061,
0.5935,20.31507,
0.8128,20.34726,
0.922,20.36233,
1.625,20.38037,
0.5,20.39361,
1.75,20.43282,
0.7185,20.45606,
0.5,20.46477,
0.5315,20.47707,
0.7185,20.48316,
0.625,20.51651,
0.625,20.53397,
0.6091,20.5409,
1.5315,20.54897,
1.4375,20.55557,
0.625,20.55999,
1.0157,20.56168,
1.0312,20.56468,
0.5,20.59292,
1.328,20.60369,
0.719,20.61111,
0.8128,20.61379,
0.625,20.66189,
0.625,20.67159,
0.9065,20.67416,
0.8128,20.67881,
0.531,20.71158,
0.625,20.74278,
0.7188,20.75033,
1.0313,20.77369,
0.922,20.77624,
0.5157,20.77927,
0.531,20.79364,
0.7187,20.81368,
1.3435,20.85494,
0.531,20.86233,
0.5,20.86784,
0.625,20.87685,
0.5,20.90007,
0.9372,20.90742,
1.7343,20.9094,
0.5,20.91147,
0.5,20.92037,
0.8125,20.95943,
0.625,20.96083,
1.031,20.96289,
0.625,20.97135,
0.5157,20.97817,
1.3125,20.97898,
0.5315,20.98818,
0.625,20.98859,
0.625,21.00291,
1.125,21.0261,
0.719,21.03793,
1.6405,21.04181,
1.5315,21.05653,
0.6094,21.06143,
