i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
571 0 3.72642 5.45241
572 0 3.72641 -5.45241
573 0 0.21371 7.66621
574 0 0.21371 -7.66621
575 0 2.25106 8.88841
576 0 2.25107 -8.88841
577 0 0.03425 3.3277
578 0 3.31083 3.00974
579 0 3.31083 -3.00974
580 0 2.808 -8.09195
581 0 2.80827 8.09242
582 0 3.72786 -3.01694
583 0 3.72786 3.01694
584 0 0.0841 3.79252
585 0 0.20697 -5.41785
586 0 0.24465 -0.31726
587 0 0.04084 0.05957
588 0 0.05871 -0.73584
589 0 0.07503 8.07314
590 0 0.07503 -8.07314
591 0 0.1256 -3.82052
592 0 0.21421 -5.04661
593 0 3.52921 2.72514
594 0 3.52921 -2.72514
595 0 0.33405 4.40978
596 0 0.31647 6.46635
597 0 0.24889 3.69127
598 0 2.25353 -8.4223
599 0 2.25349 8.42222
600 0 0.17935 -3.80239
601 0 0.13925 -0.38382
602 0 0.03692 0.55037
603 0 3.73531 4.26593
604 0 3.73531 -4.26593
605 0 0.03494 -1.02465
606 0 0.38813 -7.75562
607 0 0.11742 0.46705
608 0 0.3245 -5.16699
609 0 0.25815 -5.17537
610 0 0.07661 -1.0654
611 0 0.03992 2.32176
612 0 0.04086 2.56469
613 0 0.40662 -8.80771
614 0 0.40662 8.80771
615 0 0.26338 -0.74106
616 0 3.89268 -7.99959
617 0 3.89268 7.99959
618 0 0.02615 -3.47903
619 0 0.02837 4.364
620 0 0.02837 -6.412
621 0 0.02837 -4.748
622 0 0.04036 -4.23662
623 0 0.02848 -6.9241
624 0 0.04036 -5.90062
625 0 0.02837 5.9
626 0 0.02837 5.388
627 0 0.02833 6.41199
628 0 0.02837 -2.188
629 0 0.0283 4.876
630 0 0.02845 6.92409
631 0 0.02845 -1.67591
632 0 0.29314 1.87283
633 0 0.31072 -3.19265
634 0 0.29702 -3.29964
635 0 0.34289 -7.94802
636 0 0.27859 -7.98887
637 0 0.28087 7.98876
638 0 0.34427 7.95143
639 0 0.14401 1.67213
640 0 0.16147 1.50598
641 0 0.17988 1.56637
642 0 0.08004 1.70878
643 0 2.73738 8.23698
644 0 2.73731 -8.23682
645 0 0.06529 -3.44432
646 0 0.28372 -7.84924
647 0 0.2918 7.84761
648 0 1.56718 8.50805
649 0 1.56717 -8.50805
650 0 1.45903 8.38641
