i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
409 0 4.48e-10 5.021e-09
410 0 8.06e-10 5.503e-09
411 0 9e-10 -3.913e-09
412 0 1.215e-09 4.827e-09
413 0 7.85e-10 4.826e-09
414 0 1.2186e-08 -7.018e-09
415 0 1.1993e-08 -7.805e-09
416 0 1.1993e-08 7.805e-09
417 0 1.2186e-08 7.018e-09
418 0 1.2886e-08 -1.1036e-08
419 0 1.2605e-08 -1.1701e-08
420 0 1.2605e-08 1.1701e-08
421 0 1.2886e-08 1.1036e-08
422 0 9.731e-09 -5.541e-09
423 0 9.731e-09 5.541e-09
424 0 1.097e-09 -9.5e-11
425 0 8.22e-10 -2.45e-10
426 0 1.21e-09 -4.444e-09
427 0 7.98e-10 3.738e-09
428 0 1.212e-09 -5.354e-09
429 0 5.62e-10 -3.397e-09
430 0 5.12e-10 -3.567e-09
431 0 1.2145e-08 1.0539e-08
432 0 1.2145e-08 -1.0539e-08
433 0 5.76e-10 4.093e-09
434 0 4.78e-10 4.287e-09
435 0 5.15e-10 3.068e-09
436 0 5.79e-10 2.847e-09
437 0 1.2745e-08 8.051e-09
438 0 1.2745e-08 -8.051e-09
439 0 6.13e-10 1.19e-09
440 0 6.09e-10 -1.188e-09
441 0 6.08e-10 7.413e-09
442 0 5.07e-10 -5.883e-09
443 0 5.76e-10 -5.684e-09
444 0 1.0471e-08 -7.1e-09
445 0 1.0471e-08 7.1e-09
446 0 6.13e-10 1.011e-09
447 0 6.21e-10 5.503e-09
448 0 7.338e-09 -9.016e-09
449 0 7.338e-09 9.016e-09
450 0 5.641e-09 -5.07e-09
451 0 5.641e-09 5.07e-09
452 0 5.12e-10 -4.671e-09
453 0 5.13e-10 -5.129e-09
454 0 4.01e-10 5.962e-09
455 0 7.563e-09 1.0512e-08
456 0 7.243e-09 1.1297e-08
457 0 7.563e-09 -1.0512e-08
458 0 7.243e-09 -1.1297e-08
459 0 5.21e-10 7.896e-09
460 0 5.21e-10 -7.896e-09
461 0 1.99e-10 -7.435e-09
462 0 6.5e-11 -7.301e-09
463 0 1.97e-10 -1.036e-09
464 0 1.446e-09 1.2908e-08
465 0 1.446e-09 -1.2908e-08
466 0 1.187e-09 -4.089e-09
467 0 6.982e-09 -1.2788e-08
468 0 6.982e-09 1.2788e-08
469 0 7.93e-10 2.846e-09
470 0 7.126e-09 8.216e-09
471 0 7.126e-09 -8.216e-09
472 0 7.91e-10 4.099e-09
473 0 8.36e-10 6.045e-09
474 0 9.05e-10 5.325e-09
475 0 1.092e-09 5.325e-09
476 0 1.186e-09 5.501e-09
477 0 7.91e-10 5.156e-09
478 0 1.207e-09 5.156e-09
479 0 9.05e-10 5.7e-09
480 0 1.227e-09 5.86e-09
481 0 5.72e-10 -6.37e-10
482 0 9.1e-11 -8.064e-09
483 0 9.1e-11 8.064e-09
484 0 1.039e-09 6.321e-09
485 0 1.096e-09 -1.2348e-08
486 0 1.096e-09 1.2348e-08
487 0 1.219e-09 2.879e-09
488 0 7.85e-10 -5.685e-09
489 0 4.411e-09 -1.303e-08
490 0 4.411e-09 1.303e-08
491 0 1.21e-09 4.104e-09
492 0 7.49e-09 -1.3402e-08
493 0 7.49e-09 1.3402e-08
494 0 8.7e-10 1.992e-09
495 0 1.099e-09 5.7e-09
496 0 7.76e-10 5.874e-09
497 0 1.0396e-08 -1.2176e-08
498 0 1.0396e-08 1.2176e-08
499 0 3.634e-09 -1.3172e-08
500 0 3.634e-09 1.3172e-08
501 0 2.23e-10 1.199e-08
502 0 2.23e-10 -1.199e-08
503 0 9.19e-09 2.321e-09
504 0 9.19e-09 -2.321e-09
505 0 7e-11 -3.702e-09
506 0 9.47e-10 2.309e-09
507 0 7.216e-09 -2.174e-09
508 0 7.216e-09 2.174e-09
509 0 7.91e-10 -4.113e-09
510 0 5.674e-09 9.243e-09
511 0 5.674e-09 -9.243e-09
512 0 9.211e-09 -4.838e-09
513 0 9.211e-09 4.838e-09
514 0 1.075e-09 -3.906e-09
515 0 4.22e-09 -1.1579e-08
516 0 4.766e-09 -1.2205e-08
517 0 4.22e-09 1.1579e-08
518 0 4.766e-09 1.2205e-08
519 0 7.845e-09 -7.646e-09
520 0 7.845e-09 7.646e-09
521 0 9.906e-09 8.355e-09
522 0 9.906e-09 -8.355e-09
523 0 1.062e-09 -5.909e-09
524 0 1.87e-10 -7.82e-10
525 0 4.58e-10 1.301e-09
526 0 4.54e-10 -1.299e-09
527 0 4.53e-10 7.301e-09
528 0 9.31e-10 -7.1e-11
529 0 1.201e-09 -2.97e-10
530 0 6.48e-10 2.188e-09
531 0 1.1745e-08 1.167e-08
532 0 1.1745e-08 -1.167e-08
533 0 6.4e-11 -9.14e-10
534 0 4.53e-10 8.96e-10
535 0 3.39e-10 -8.774e-09
536 0 3.39e-10 8.774e-09
537 0 1.97e-10 5.921e-09
538 0 1.335e-09 -8.034e-09
539 0 1.335e-09 8.034e-09
540 0 9.798e-09 2.417e-09
541 0 9.798e-09 -2.417e-09
542 0 3.2e-10 -9.04e-10
543 0 1.165e-09 6.483e-09
544 0 1.648e-09 -9.861e-09
545 0 1.648e-09 9.861e-09
546 0 3.21e-10 -1.1053e-08
547 0 3.21e-10 1.1053e-08
548 0 2.46e-10 1.3063e-08
549 0 2.46e-10 -1.3063e-08
550 0 8.203e-09 -1.3112e-08
551 0 8.203e-09 1.3112e-08
552 0 4.501e-09 -1.0887e-08
553 0 4.501e-09 1.0887e-08
554 0 1.0187e-08 1.1351e-08
555 0 1.0187e-08 -1.1351e-08
556 0 1.96e-10 -9.399e-09
557 0 1.96e-10 9.399e-09
558 0 2.01e-10 -7.926e-09
559 0 2.01e-10 7.926e-09
560 0 5.12e-10 -1.491e-09
561 0 5.11e-10 7.11e-09
562 0 5.31e-10 1.491e-09
563 0 5.169e-09 -1.0596e-08
564 0 5.169e-09 1.0596e-08
565 0 8.4e-09 -5.197e-09
566 0 8.4e-09 5.197e-09
567 0 8.803e-09 1.3511e-08
568 0 8.803e-09 -1.3511e-08
569 0 5.11e-10 7.06e-10
570 0 1.172e-09 1.169e-08
571 0 1.172e-09 -1.169e-08
572 0 1.2486e-08 2.463e-09
573 0 1.2486e-08 -2.463e-09
574 0 5.25e-10 -9.717e-09
575 0 5.25e-10 9.717e-09
576 0 1.0181e-08 2.88e-09
577 0 1.0181e-08 -2.88e-09
578 0 1.178e-09 -3.757e-09
579 0 1.099e-09 4.652e-09
580 0 8.98e-10 4.651e-09
581 0 4.471e-09 9.565e-09
582 0 5.087e-09 9.706e-09
583 0 5.087e-09 -9.706e-09
584 0 4.471e-09 -9.565e-09
585 0 5.45e-10 1.863e-09
586 0 4.99e-10 2.057e-09
587 0 3.45e-10 -3.62e-09
588 0 1.82e-10 -3.543e-09
589 0 6.51e-10 -1.0609e-08
590 0 6.51e-10 1.0609e-08
591 0 5.432e-09 3.539e-09
592 0 5.432e-09 -3.539e-09
593 0 4.247e-09 8.942e-09
594 0 4.247e-09 -8.942e-09
595 0 4.891e-09 -1.3604e-08
596 0 4.891e-09 1.3604e-08
597 0 1.361e-08 2.864e-09
598 0 1.361e-08 -2.864e-09
599 0 5e-10 1.3647e-08
600 0 5e-10 -1.3647e-08
601 0 7.37e-10 1.837e-09
602 0 4.03e-10 -8.007e-09
603 0 4.03e-10 8.007e-09
604 0 4.69e-10 1.2516e-08
605 0 4.69e-10 -1.2516e-08
606 0 8.66e-10 8.21e-09
607 0 8.66e-10 -8.21e-09
608 0 5.432e-09 -5.791e-09
609 0 5.432e-09 5.791e-09
610 0 3.576e-09 8.988e-09
611 0 3.576e-09 -8.988e-09
612 0 1.072e-09 1.366e-08
613 0 1.072e-09 -1.366e-08
614 0 5.45e-10 -1.1522e-08
615 0 5.45e-10 1.1522e-08
616 0 1.098e-09 -8.97e-09
617 0 1.098e-09 8.97e-09
618 0 2.292e-09 -8.797e-09
619 0 2.292e-09 8.797e-09
620 0 1.322e-08 2.397e-09
621 0 1.322e-08 -2.397e-09
622 0 1.096e-09 -9.491e-09
623 0 1.096e-09 9.491e-09
624 0 5.459e-09 -2.428e-09
625 0 5.459e-09 2.428e-09
626 0 3.404e-09 8.473e-09
627 0 3.404e-09 -8.473e-09
628 0 6.7e-10 -8.755e-09
629 0 6.7e-10 8.755e-09
630 0 1.422e-09 8.693e-09
631 0 1.422e-09 -8.693e-09
632 0 2.816e-09 -8.46e-09
633 0 2.816e-09 8.46e-09
634 0 1.842e-09 8.623e-09
635 0 1.842e-09 -8.623e-09
636 0 6.049e-09 -2.293e-09
637 0 6.049e-09 2.293e-09
638 0 1.184e-09 -8.283e-09
639 0 1.184e-09 8.283e-09
640 0 5.167e-09 -2.997e-09
641 0 5.167e-09 2.997e-09
642 0 1.43e-10 -8.463e-09
643 0 1.43e-10 8.463e-09
644 0 5.212e-09 -7.033e-09
645 0 5.212e-09 7.033e-09
646 0 6.76e-10 8.405e-09
647 0 6.76e-10 -8.405e-09
648 0 2.34e-10 -8.285e-09
649 0 2.34e-10 8.285e-09
650 0 4.36e-10 -8.246e-09
651 0 4.36e-10 8.246e-09
