i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
348 0 1.96e-10 -6.067e-09
349 0 1.91e-10 -5.092e-09
350 0 3.7e-11 7.185e-09
351 0 3.6e-11 -7.185e-09
352 0 1.83e-10 -6.5e-10
353 0 2.17e-10 3.221e-09
354 0 2.92e-10 -1.066e-09
355 0 2.9e-10 1.066e-09
356 0 1.66e-10 3.35e-09
357 0 1.46e-10 3.51e-09
358 0 3.78e-10 -3.619e-09
359 0 3.82e-10 -6.521e-09
360 0 2.93e-10 3.113e-09
361 0 3.27e-10 3.16e-09
362 0 5.7e-11 7.33e-10
363 0 7.993e-09 -4.221e-09
364 0 7.993e-09 4.221e-09
365 0 2.5e-10 1.27e-10
366 0 2.13e-10 4.075e-09
367 0 2.11e-10 -6.123e-09
368 0 2.09e-10 -5.037e-09
369 0 3.42e-10 4.063e-09
370 0 3.17e-10 -2.791e-09
371 0 2.1e-10 -4.053e-09
372 0 2.12e-10 -3.394e-09
373 0 3.56e-10 4.008e-09
374 0 3.02e-10 7.24e-10
375 0 7.602e-09 5.401e-09
376 0 7.602e-09 -5.401e-09
377 0 3.91e-10 -2.893e-09
378 0 3.49e-10 -2.937e-09
379 0 1.35e-10 -5.976e-09
380 0 8.144e-09 -1.1968e-08
381 0 8.144e-09 1.1968e-08
382 0 5.545e-09 -8.394e-09
383 0 5.545e-09 8.394e-09
384 0 2.11e-10 2.332e-09
385 0 3.9e-10 -1.016e-09
386 0 2.42e-10 -3.143e-09
387 0 2.47e-10 5.821e-09
388 0 2.48e-10 -4.312e-09
389 0 2.47e-10 4.281e-09
390 0 2.43e-10 -6.857e-09
391 0 3.5e-11 -5.626e-09
392 0 2.82e-10 3.228e-09
393 0 1.43e-09 8.357e-09
394 0 1.428e-09 -8.359e-09
395 0 2.96e-10 -5.08e-10
396 0 3.12e-10 9.8e-11
397 0 7.3e-11 1.26e-09
398 0 1.68e-10 -2.127e-09
399 0 1.92e-10 -2.174e-09
400 0 4e-11 3.726e-09
401 0 4.2e-11 -5.387e-09
402 0 3.93e-10 1.02e-09
403 0 2.55e-10 -7.891e-09
404 0 2.55e-10 7.891e-09
405 0 2.375e-09 8.205e-09
406 0 3.08e-10 -2.595e-09
407 0 2.95e-10 7.466e-09
408 0 2.95e-10 1.134e-09
409 0 2.95e-10 -7.466e-09
410 0 2.51e-10 5.46e-09
411 0 2.51e-10 5.315e-09
412 0 2.51e-10 -4.676e-09
413 0 2.43e-10 -6.333e-09
414 0 2.52e-10 -4.821e-09
415 0 4.24e-10 7.992e-09
416 0 4.24e-10 -7.992e-09
417 0 3.2e-11 7.94e-10
418 0 2.72e-10 -7.162e-09
419 0 1.84e-10 -1.828e-09
420 0 2.84e-10 2.2e-11
421 0 3.21e-10 -2.1e-11
422 0 3.15e-10 -7.539e-09
423 0 3.15e-10 7.539e-09
424 0 1.76e-10 -9.63e-10
425 0 1.78e-10 7.18e-09
426 0 1.7e-10 -7.174e-09
427 0 2.96e-10 3.391e-09
428 0 4e-11 -1.675e-09
429 0 3.5e-11 1.309e-09
430 0 2.19e-10 -5.885e-09
431 0 1.96e-10 -5.946e-09
432 0 3.92e-10 -1.297e-08
433 0 3.92e-10 1.297e-08
434 0 1.91e-10 -2.282e-09
435 0 7.9e-11 1.136e-09
436 0 3.01e-10 1.568e-09
437 0 2.98e-10 -1.751e-09
438 0 3.8e-11 -1.421e-09
439 0 3.3e-11 -7.94e-10
440 0 1.85e-10 -7.371e-09
441 0 1.87e-10 1.23e-09
442 0 1.85e-10 7.371e-09
443 0 3.8e-11 1.179e-09
444 0 1.58e-10 -7.711e-09
445 0 1.58e-10 7.711e-09
446 0 3.41e-10 -1.546e-09
447 0 2.87e-10 -2.669e-09
448 0 1.78e-10 2.494e-09
449 0 3.43e-10 -5.331e-09
450 0 3.05e-10 8.81e-10
