status Javgctr z Fbare0 Fbare1 Javgbtm i Fshear1 Fshear2 Fp2 Fshear0 r Fp1 Fp0 Fbarevol0 Fbarevol1 Fbarevol2 Javgtop Fbare2
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
1 10.3556346389 -4.161e-09 -0.391852411622 0.367661718651 10.3566650005 34 -6.97731573832e-05 -0.00166520222039 0.000333385870731 0.00289495529913 5.067e-09 -0.0187133608746 -0.00657352337381 -0.0883626080493 -0.0665522929316 0.015040623599 10.3551502887 0.104454512811
1 23.8331110179 4.161e-09 0.0901846494818 0.0184952664406 23.8350926225 35 0.000171282411557 0.000976202828238 0.000546507488919 0.00281959021372 5.067e-09 -0.00744834599691 -0.019309487457 -0.147797427321 -0.035115926557 -0.00291435034869 23.833557739 -0.0977007359466
1 7.99571497985 -2.97e-09 3.62874614062 -0.0851002631268 7.99686904787 36 8.37539681038e-05 -0.0540434249365 -0.131135207262 0.00160251874178 2.84e-10 -0.00206731680501 0.121720600243 3.72367687683 0.00168380554143 -0.637128390416 7.99497120875 -0.709066673937
1 8.83835064777 8.206e-09 -0.101028051896 0.00149586837402 8.83869309147 37 4.91037638263e-05 -0.0416858600343 -0.463514638899 -8.7969860864e-05 2.39e-10 0.0014901128263 0.0117385486854 0.0745550293366 0.00945937006776 -2.36826802399 8.48153048782 -2.60195586403
1 20.1589047584 5.972e-09 1.47762196361 -0.0341641658578 20.1607135521 38 -0.000887486729438 -0.205743207447 -0.760913408117 0.00058535922416 1.56e-10 -0.0177178655986 0.0632184233209 1.83748247825 0.00942803096958 -2.05487153317 20.1597730188 -1.74146619589
1 9.43962167276 6.854e-09 2.68061375114 -0.102600451586 9.44040534548 39 -0.000112496907484 -0.0672182841647 -0.489475783187 0.000588340177813 3.71e-10 0.00835486866597 0.163828831385 2.93355544191 -0.00673978526358 -4.23490384733 9.40766880881 -3.86921812982
1 9.401896299 -7.846e-09 0.108820346968 -0.000948717460235 9.25089758834 40 -0.000441419640896 -0.0819669740261 0.230137887259 -0.00141415487833 9.6e-11 0.0149903310432 0.0262515725522 0.158074404073 -0.00346764937797 3.31775690155 9.40172124417 3.64549498183
1 16.9684031187 7.844e-09 0.0818427850083 0.0125245180669 16.9695858237 41 -0.000168358374281 -0.0686893829123 -0.613417327791 0.000789354250467 9.2e-11 -0.000972358949476 0.0152282600922 0.111887183389 -0.00452115626818 -3.77026151591 16.2517467473 -3.64024977546
1 8.93633889717 -6.84e-09 1.55424541103 0.00366329845738 8.9093649773 42 0.0005936789039 -0.0962865423879 -0.0678546312082 0.000267020103536 1.88e-10 -0.0112190021233 0.0991441449651 1.86491617756 -0.0115663894514 2.96624044368 8.93594605028 2.72278180565
1 12.8988244937 -5.46e-10 0.546524891668 0.00742935910041 12.9063332873 43 0.000590074786757 -0.14986129771 -0.613179896668 -0.000107314285407 4.6e-11 0.0404876121817 0.0445663803532 0.632279359697 0.0048472264909 -0.377110504053 12.9151655833 -0.275093824031
1 23.6873880382 -2.377e-09 3.20035619995 -0.0200715926429 23.689476153 44 0.00123176248488 -0.12083743421 -0.314045484643 0.00452552239903 2.26e-10 -0.00052779806738 0.098173298335 3.10288986286 -0.00069467318549 -1.09184704433 23.6877618551 -0.75537589975
1 8.20263884101 -5.968e-09 2.30565191647 0.0210495847954 8.20335975566 45 -0.00011959873629 -0.062708546703 -0.20888468564 0.0010471055627 2.26e-10 0.00687765957471 0.0920206146544 2.79810156223 -0.00578684898268 0.739170634149 8.20214810962 0.540932183558
1 17.2629466783 -1.427e-09 3.05287184284 -0.0387755067571 18.0384005847 46 -0.00153878794098 -0.166544205569 -0.388210501741 0.00448222388963 2.45e-10 0.00507510778963 0.100939457215 3.28309245303 0.00603098209951 -0.764398452904 18.4235593615 -0.611341547619
1 10.3878084323 1.427e-09 2.49443302393 -0.000323547266248 10.9867284963 47 0.000299533571495 -0.126140765511 -0.421270566047 0.00136450901672 2.45e-10 0.00633588890843 0.0684965104977 3.06474930704 -0.0335801594133 -0.759282113443 10.8913209629 -0.763582010012
