status Fshear[0] Fshear[1] Javgbtm i Fp[1] Fbare[1] Fp[0] Fshear[2] r Fbare[0] Fbare[2] Fp[2] Javgtop z Javgctr
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293
1 2.50488945449 -21.8058615893 56.9955324204 74 -27.7076066114 -1.29547123074e-16 33.0124574874 -9.96767850861 1.37835e-08 -7.46212576701e-17 -3.69575245446e-15 -146.672598986 56.9955310205 5.1279e-09 56.9955322349
1 1716901.0909 1060808.47634 57.2942595346 75 -58.0606110747 -5.78382041167e-17 17.60966064 -1074995.24128 1.37835e-08 -1.42192852611e-16 -3.48422790943e-15 -149.187959467 57.2942576606 -5.1279e-09 57.2942593087
1 17.671809748 -11.5188115016 57.8472268372 76 -39.5251253863 -2.36012354467e-16 -10.7321147427 -7.5636506631 4.6441e-09 -9.07292622822e-17 -3.59949349951e-15 -160.537296798 57.8472242325 1.02452e-08 57.8472266674
1 15.5935743729 -18.9086823755 53.8999714771 77 -39.7192033682 -7.47908628045e-17 29.2468224807 -13.7220341653 4.6417e-09 7.98591023438e-17 -3.52917020287e-15 -158.785988838 53.899970142 -1.02472e-08 53.8999712978
1 4.71990620247 -14.6122127068 59.9533557311 78 -50.9162460535 -1.19788630296e-16 52.2372452441 -6.15220518192 1.13308e-08 -2.7530167327e-17 -3.56891693144e-15 -170.08789477 59.953353485 -3.1451e-09 59.9533554694
1 3.6455001275 -22.0914050902 57.3500230623 79 -53.391105621 -5.33281210072e-17 25.2340273337 -13.2991206559 1.13308e-08 -7.06537822415e-17 -3.49951805847e-15 -165.977403687 57.3500209102 3.1451e-09 57.3500228157
1 587983.886327 -5449096.75842 58.7517351659 80 -44.8110126865 -1.64341521247e-16 41.6707721126 -12492157.7255 1.18412e-08 -2.11196682124e-16 -3.57955454333e-15 -138.926024945 58.7517329319 1.01398e-08 58.7517349375
1 14.8734297586 -30.5668174135 58.6950828137 81 4.60791698109 -4.29500483296e-17 37.5024391956 -4.38666790057 1.18402e-08 -1.45544390163e-16 -3.48827345668e-15 -181.936322831 58.6950805535 -1.01398e-08 58.6950825431
1 7.72511306696 -34.4496990541 50.3962998848 82 -22.0528339016 -1.68516697074e-17 41.438203708 -7.15457580388 9.045e-10 -1.29720865338e-16 -3.40828073939e-15 -152.528942489 50.3962985912 -1.17539e-08 50.3962997196
1 10.7171498262 -18.1596673785 63.8874318934 83 -56.2193770363 -2.12187847211e-16 -18.3268508176 -16.8576048314 9.045e-10 -3.15762427664e-16 -3.65990844432e-15 -137.250125445 63.8874298574 1.17539e-08 63.8874318035
1 -2.67825585537 -19.7266166606 54.7618788019 84 -36.6074480447 -6.72984833855e-17 88.1815045349 -2.17932294112 3.4019e-09 9.2760057634e-17 -3.73505668302e-15 -186.821600604 54.7618772685 -1.23645e-08 54.7618786267
1 11.8021384546 -17.7109228231 61.6037617346 85 -36.1085718999 -3.84752206621e-17 22.8649888646 -6.514367712 3.4019e-09 8.93483235638e-18 -3.67928833419e-15 -175.917758569 61.6037584379 1.23645e-08 61.6037615246
1 27.2134037933 -13.898885311 53.415905566 86 -52.5977840013 -1.29790617557e-16 5.80202911734 -15.2586794477 2.6129e-09 -9.56070814545e-17 -3.47839649137e-15 -170.216386186 53.415904146 -1.15278e-08 53.4159053902
1 10.3676727763 -15.5402217862 61.139808814 87 -50.661615518 -1.79812047141e-16 32.8970482027 -17.7643535083 2.6129e-09 -5.17850108536e-17 -3.59810655843e-15 -132.928770216 61.1398055519 1.15278e-08 61.1398086186
1 16.5453855235 -25.3620857449 50.3745315763 88 -12.0285627574 -7.60206830441e-17 56.6525891983 -9.88398583017 2.0777e-09 -7.08911674145e-17 -3.57414870163e-15 -162.849119989 50.3745303654 -9.616e-09 50.3745314126
1 12.2402151597 -15.3349700019 60.8746433087 89 -36.6083314983 -1.9780186463e-16 2.6001962137 -13.4945387542 2.0777e-09 -4.6092905582e-17 -3.43266826556e-15 -143.178832626 60.8746406545 9.616e-09 60.8746431466
1 18.4072209293 -35.6093848352 55.3123433275 90 -8.47269545076 -5.67404105173e-17 47.9081930494 -8.07740919328 5.3222e-09 -1.42978045108e-17 -3.48648377152e-15 -162.378250726 55.3123420087 -8.3467e-09 55.3123431803
1 22.5767801523 -15.8040587468 55.8202210059 91 -65.4344461868 -1.87657143448e-16 -27.0031549517 -7.92485655765 5.3261e-09 -1.72494580352e-16 -3.69956752164e-15 -184.866710744 55.8202187996 8.3435e-09 55.8202208145
1 2.2303629346 -10.8906108497 56.5736078231 92 -20.8866764525 -9.84272079305e-17 49.2616378512 -16.1418175039 1.12447e-08 -9.17908459949e-18 -3.49004297898e-15 -155.788164765 56.5736061273 -1.39739e-08 56.5736076371
1 8.75662595358 -20.0258101427 56.6120768117 93 -93.1481207614 -2.50625570148e-16 -21.2767382321 -9.19549166354 1.12462e-08 -2.01653220566e-16 -3.59396434029e-15 -169.491616528 56.6120746252 1.3974e-08 56.6120766269
1 17.134431782 -15.08748211 58.8831782203 94 -29.1690977616 -1.34469701616e-16 11.5395350183 -11.0162401598 9.3697e-09 5.35362139023e-18 -3.45498903638e-15 -166.174212631 58.8831762434 -1.39586e-08 58.8831779915
1 15.1631333263 -18.2809512291 59.5852802741 95 -60.9922949199 -1.67878490582e-16 15.4958723251 -16.4896571885 9.3712e-09 -8.96142495304e-17 -3.71858784947e-15 -130.210000165 59.5852777602 1.39586e-08 59.5852800743
1 -1595503.27374 -10574255.3082 58.136618568 96 -65.2161610935 -1.75656851797e-16 31.0678709732 -11546818.4441 1.16126e-08 -1.09374517387e-16 -3.68020071368e-15 -136.393271571 58.1366167021 1.31564e-08 58.1366183712
1 -1.56011614839 -24.1202304089 62.1792020701 97 -23.7669754203 9.59855632724e-17 77.1526540409 -8.31634630147 1.16111e-08 3.75369399766e-17 -3.51501337504e-15 -195.083454897 62.1791997447 -1.31563e-08 62.179201818
1 8.02532231765 -14.0300388692 58.9177789903 98 -89.7439163292 -1.41448102856e-16 -2.14267135306 -8.69148846269 8.9867e-09 -9.96676715732e-17 -3.60247776796e-15 -151.527531492 58.9177764763 1.31312e-08 58.9177788176
1 19.2378455534 -32.9078587282 59.1453313647 99 -33.7526893241 -6.97869389717e-17 23.3898103083 -6.79692936403 8.986e-09 -1.68949629257e-17 -3.60906092121e-15 -187.617207001 59.1453293395 -1.31385e-08 59.1453311468
1 6.96265543768 -25.0616488139 31.3438587637 100 -26.7823190195 -2.70879004359e-17 38.2370973427 -9.81378987515 4.6958e-09 -9.48558378847e-17 -3.60519145267e-15 -199.996902681 49.2018163692 -7.7007e-09 49.2018175436
1 14.9325936662 -19.3949396396 61.5719876958 101 -14.2427101334 3.42602202537e-17 -23.0047613303 -10.3453960389 4.6958e-09 -2.22543419648e-16 -3.65863189491e-15 -165.122243181 74.3617291803 7.7007e-09 61.5719876872
1 11.1154351472 -17.1821410449 56.8177837113 102 -74.5363591466 -1.08882252957e-16 -4.12301601408 -17.7540708534 1.4002e-08 -1.46773302481e-16 -3.66032788451e-15 -150.131267179 56.8177819893 1.27461e-08 56.8177835593
1 9.03818268994 -27.3367526309 57.1740306388 103 -2.92982314271 3.34792598315e-17 82.9096534522 -12.8763461955 1.4002e-08 3.36781390326e-17 -3.67173991457e-15 -163.231662553 57.1740288118 -1.27461e-08 57.1740304318
1 22.2044856779 -24.6209647206 57.7984106394 104 -27.9768950215 -9.66499944792e-17 29.1352747453 -10.8844825968 6.6719e-09 -1.52000028015e-16 -3.29664435422e-15 -142.603645413 57.7984084691 -3.3754e-09 57.7984103678
1 26.3391724208 -21.2295712021 57.6756432098 105 -44.3913687893 -9.04799090921e-17 -19.9237195706 -9.64379538809 6.6719e-09 -1.63180951871e-16 -3.66853244664e-15 -184.711788903 57.6756408619 3.3754e-09 57.6756430041
1 10.239676367 -9.16384713765 59.8444611874 106 -38.7472318872 -1.11314099291e-16 22.7480758785 -10.1075424066 1.38868e-08 -1.70365797774e-16 -3.5407872813e-15 -160.435069195 59.8444590608 -1.44971e-08 59.8444609592
